patient_id,image_number,page_load_time,next_button_click_time
tutorial,4,2024-08-02T18:26:52.971Z,2024-08-02T18:26:54.770Z
tutorial,4,2024-08-02T18:35:28.888Z,2024-08-02T18:35:30.734Z
